Name,Diameter
Aenna,11.6
Luda,19.1
Granada,30.0
Thessalia,30.4
Larissa,56.8
Saga,29.1
Imprinetta,48.8
Sakuntala,24.7
Dubiago,63.1
Brandia,10.6
Siva,10.4
Rusthawelia,70.1
Aneas,142.8
Anchises,126.3
Lucidor,30.6
Gonnessia,92.0
Irmela,19.1
Ilona,14.3
Jutta,17.9
Turnera,35.6
Afra,31.8
Gothlandia,12.4
Terentia,55.9
Pelagia,17.4
Alfaterna,41.9
Aletta,55.4
Sheba,29.3
Rhodesia,47.4
Geldonia,31.2
Imperatrix,39.5
Strenua,34.9
Marina,54.9
Nanna,35.2
Ostenia,22.9
Troilus,103.3
Morosovia,33.6
Bressole,38.2
Francette,82.1
Algeria,33.2
Richilde,35.3
Britta,11.4
Tina,20.2
Fantasia,13.9
Golia,16.4
Geranium,41.8
Tilia,27.6
Auricula,22.5
Cortusa,33.1
Kobresia,33.5
Elyna,26.0
Thais,22.3
Genevieve,39.7
Predappia,20.0
Queteleta,15.9
Centenaria,58.9
Dysona,83.0
Zambesia,47.7
Pamela,70.1
Deira,30.9
Calvinia,26.8
Chaka,18.1
Memoria,36.0
Rutherfordia,12.4
Galanthus,21.0
Celestia,17.4
Frisia,30.1
Erfordia,45.5
Schilowa,32.5
Normannia,69.2
Sicilia,44.5
Ogyalla,33.1
Legia,31.3
Sniadeckia,51.5
Varsavia,49.3
Letaba,74.7
Tone,73.3
Geertruida,23.4
Libya,94.1
Rollandia,105.2
Datura,9.5
Isergina,44.3
Helma,30.5
Cimbria,28.6
Ucclia,30.6
Dolores,27.6
Baillauda,50.8
Jeanne,21.6
Utopia,53.1
Komsomolia,26.9
Latvia,36.8
Julietta,40.8
Banachiewicza,33.8
Lorcia,27.0
Santa,39.2
Kutaissi,25.6
Phryne,26.8
Sonja,7.8
Antwerpia,34.7
Deflotte,48.0
Andree,25.3
Quadea,66.0
Nocturna,40.0
Marcelle,27.8
Yvonne,22.8
Luthera,85.5
Arosa,41.9
Pongola,29.5
Scythia,67.5
Halleria,43.2
Hyperborea,57.1
Knopfia,14.1
Vassar,36.3
Paula,11.3
Bronislawa,63.5
Nerina,13.0
Impala,39.7
Majuba,36.3
Tugela,58.4
Inanda,10.7
Losaka,22.5
Namaqua,25.1
Devota,57.1
Eliane,27.5
Spiridonia,55.5
Solvejg,32.1
Marconia,44.1
Lundmarka,31.3
Zeelandia,21.0
Gerarda,38.9
Desagneauxa,23.0
Yvette,25.9
Edmee,27.5
Brabantia,18.0
Nicole,24.4
Potomac,71.8
Gotha,15.1
Patria,32.4
Rosselia,23.4
Uzbekistania,64.9
Wawel,24.0
Maartje,33.8
Botha,48.8
Nyanza,64.7
Khama,50.2
Gaika,20.0
Prieska,52.0
Tarka,29.8
Leuschneria,30.2
Griqua,29.9
Safara,29.3
Piccolo,27.6
Numidia,19.3
Ostanina,41.6
Resi,35.2
Haremari,23.9
Alfreda,23.7
Leonce,18.2
Lomonosowa,21.0
Danubia,24.0
Limburgia,22.3
Kniertje,26.7
Gelria,22.2
Aphrodite,25.2
Onnie,28.1
Abastumani,101.6
Pierre,26.4
Aribeda,20.8
Outeniqua,10.9
Donnera,34.5
Idelsonia,32.6
Ajax,81.6
Sibelius,12.2
Komppa,25.9
Lindelof,21.0
Trusanda,32.5
Isko,35.5
Margret,22.6
Brauna,31.2
Roucarie,21.4
Jerome,17.2
Malautra,14.5
Renauxa,28.9
Fayeta,10.0
Danzig,17.5
Radcliffe,23.8
Esperanto,43.3
Jose,26.1
Sundmania,70.8
Tuorla,14.9
Riviera,15.4
Ruvuma,37.6
Mombasa,56.6
Margot,29.6
Garlena,17.6
Salonta,62.9
Diomedes,164.3
Wendeline,41.7
Vogtia,47.9
Bolyai,14.8
Pannonia,27.6
Lindbladia,20.6
Raimonda,14.9
Fennia,7.3
Saldanha,43.6
Mineura,17.2
Magnya,29.4
Jean-Jacques,33.3
Zamenhof,25.8
Nordenmarkia,44.5
Armisticia,27.5
Mundleria,21.5
Mashona,112.0
Zomba,17.7
Linzia,59.0
Carla,37.0
Tornio,33.0
Ounas,17.6
Bonsdorffia,28.1
Tubingia,33.3
Postrema,44.9
Isa,26.3
Boda,29.2
Attila,30.1
Limpopo,18.6
Balduinus,27.3
Oppolzer,12.3
Sigrid,24.4
Helsinki,18.4
Pori,36.2
Baade,11.1
Arenda,33.2
Kuopio,18.4
Lappeenranta,12.7
Koranna,21.1
Esclangona,8.2
Charlois,23.8
Dalera,15.5
Oulu,82.7
Henry,19.9
Beograd,36.2
Kajaani,26.4
Imatra,53.6
Joensuu,42.8
Savonlinna,12.2
Inari,28.1
Saimaa,26.1
Nasi,22.1
Paijanne,26.7
Transylvania,13.8
Kevola,44.2
Estonia,20.2
Schalen,45.2
Vinterhansenia,21.7
Thernoe,18.7
Palomaa,26.5
Mikko,10.2
Argelander,23.3
Bessel,18.6
Wingolfia,28.6
Jarnefelt,65.1
Strattonia,21.0
Fricke,26.0
Gondolatsch,11.5
Alikoski,67.8
Evita,33.9
Brunonia,16.2
Cesco,34.5
Posnania,33.6
Vaisala,9.8
Meyer,58.7
Fabiola,27.2
Kirkwood,52.4
Herrick,42.7
Abanderada,39.3
Martir,36.8
Antilochus,101.6
Fuji,21.7
Union,50.4
Thiele,16.0
Tsiolkovskaja,13.3
Baize,21.5
Mathieu,13.5
Danjon,11.6
Tanga,22.2
Itzigsohn,49.6
Paloque,13.4
Giomus,39.5
Indiana,12.2
Neva,36.0
Tombaugh,32.3
Milankovitch,32.5
Jekhovsky,26.1
Mavis,12.0
Brenda,29.6
Smiley,21.2
Goldschmidt,46.3
Bardwell,27.8
Filipoff,24.3
Dawn,19.6
Geographos,1.8
Druzhba,9.5
Vivian,34.1
